B: 	ik hebben het kop en er lijken een soort bank bij te opzitten 
B: 	ja 
B: 	ja met een 
B: 	ja dat zijn P 
A: 	en aan die plank zitten steken ook twee ding naar naar beneden uit alsof het een soort van tafel zijn dat zijn zestien voor mij 
B: 	ik hebben met dat bank die bumper 
A: 	oké deze hebben de het dienblad voor zich met de po aan de onderkant 
A: 	en en de en de omgekeerd lampenkap erop zeggen maar 
A: 	ja 
B: 	ja dat zijn N 
B: 	met de bumper 
A: 	even kijken waar staan die ? ja met de twee pot eronder 
A: 	yes dat zijn veertien 
B: 	ja 
B: 	dat zijn D 
A: 	oké dit zijn weer het dienblad met de omgekeerd lampenkap erop 
A: 	en de poo onder het dienblad 
A: 	dat zijn tien 
A: 	dit zijn weer het het dienblad met de omgekeerd lampenkap erop 
A: 	en de poo aan de onderkant van het dienblad 
