A: 	ok 
A: 	hand dat zijn vier 
B: 	ik hebben nou ja het je kunnen het een beetje vergelijken met een wijnglas zeggen maar dus dan zijn het zo'n beker en daaronder zitten dan nog zo'n staaf met een een driehoek eronder zeggen maar 
B: 	en dan hebben je nog twee van die blok en nog ja een soort van rie wat eruit steken een beetje 
B: 	ja 
A: 	ok deze hebben dat lang ding aan de onderkant wat draaien en daar zitten dan weer een driehoek aan vast de bovenkant twee vierkant 
B: 	ja 
B: 	ja 
B: 	dat zijn a bij mij 
A: 	die wel draaien ok dat zijn tien 
A: 	dit zijn dat gedraaide ding aan de onderkant met de driehoek zeggen maar 
B: 	nou hebben we weer die soort van trofee zeggen maar met wel dat driehoekje en dan 
B: 	ja 
A: 	ja dat zijn vier 
A: 	o ja dit zijn met die ja wat draaien naar beneden met de driehoek eraan zeggen maar 
B: 	ja 
B: 	bij mij zijn dat L 
B: 	weer die een trofee zeggen maar die op dat plateau en dan met die twee kubuss 
B: 	ja de driehoekig ding inderdaad en dan 
B: 	ja 
B: 	dat zijn bij mij F 
