B: 	deze hebben een soort van twee uitlaat vierkant uitlat aan de linkerkant 
B: 	dan voorop een soort vierkant 
B: 	en bovenop een stok met daarop een rond 
B: 	ja n 
B: 	deze hebben soort van twee uitlaat aan de linkerkant met blok die steeds klein worden 
B: 	en voorop een vierkant 
B: 	ja c 
A: 	ja 
A: 	ja dat doen me een beetje aan een satelliet denken 
A: 	dat zijn nummer een 
B: 	deze hebben die twee uitlaat met de blok aan de linkerkant en voorop een vierkant 
B: 	l 
A: 	ja dat zijn het satellietachtig iets met de paddestoel daarboven 
A: 	met die zeggen maar blok die van groot naar klein lopen 
A: 	en met een soort vierkant rechtsvoor 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	de Antenne met de paddestoel boven of satelliet 
A: 	ja waar zijn die 
A: 	nummer vijfteen 
A: 	de satelliet met de paddestoel 
