B: 	ja 
B: 	er zitten een soort plaat niet onderaan maar iets hoog 
B: 	weten je dan welk ik bedoelen ? met twee uitsteekselt boven 
B: 	ja 
A: 	ja 
A: 	omgekeerd 
A: 	ja 
A: 	oké ja ik hebben hem 
A: 	bij mij staan die 
A: 	ja zes 
A: 	ik doen het alweer fout 
A: 	zes 
B: 	dat zijn bij mij C 
B: 	deze hebben weer dat plaa en dan iets veel richting het midden 
B: 	met die twee dinget erboven 
A: 	ik hebben nu die een met dat vierkant zeggen maar erdoorheen 
A: 	en er steken vooraan een buis uit die ook naar voren steken dus 
A: 	en bovenop twee klein blok zeggen maar en links een Lvormig uitsteeksel omhoog 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	dat zijn bij mij J 
A: 	oké deze staan nee ik bedoelen deze hebben die soort van vierkant ja schijf dus 
A: 	doormidd en link die Lvorm die omhoogsteekken en dan die buis aan de voorkant die zo naar ons toe steken en die twee 
A: 	dinget bovenop 
B: 	met dat plaat maar dan een stuk veel naar het midden 
B: 	een 
B: 	N 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	oké dit zijn met die L aan de zijkant die naar boven wijzen 
