A: 	oké het zijn een ja een dinge wat dan ik hebben hier de in gedachte een poppe op één been een beetje zeggen maar 
A: 	en die hebben zo'n armp hebben houden die zo 
A: 	en dan hebben hij echt een rond hoofd wel 
A: 	ja het zitten een beetje achterop en dan daarvoor ook nog zo'n ja zo'n balk 
A: 	ja 
B: 	voor 
B: 	en nog twee dinget aan de zijkant 
B: 	oké 
B: 	ja 
B: 	dan zijn het d 
A: 	ja 
A: 	nummer vijftien 
B: 	deze hebben een balle op het kop weer 
B: 	en een balk staan ervoor 
B: 	en twee armp 
B: 	we hebben hem al hebben geloven ik dus 
A: 	dit zijn dat poppe met één zo'n balk voor die twee armp zo en dat rond hoofd 
A: 	even kijken waar die zijn 
A: 	met die 
A: 	met die ik komen echt niet op het woord die balk ook nog vooraan 
A: 	ja oké nummer zes 
A: 	dit zijn dat poppe met die twee armp zo en die 
A: 	ja 
A: 	even kijken waar die zijn 
A: 	ja nummer drie 
B: 	ja dat zijn L 
B: 	dit zijn weer met dat ballet bovenop 
B: 	ja 
B: 	dat zijn J 
B: 	dit zijn met een balle erop 
