B: 	rond plaat waar je in principe een taart op zullen kunnen zetten 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	L 
A: 	ja dit zijn eigenlijk poeh zijn ook een er komen een staaf in het midden er uit en aan er prikken er eigenlijk een heel groot spijker in 
A: 	en ja 
A: 	zo'n plateau er langs ja ja 
A: 	ja even kijken 
A: 	o ja met met 
A: 	met die piramide 
A: 	er op ja dat zijn dan nummertje zes 
B: 	dit zijn die lastig die we net hebben met die rond Taarthouder aan de voorkant 
B: 	de Taarthouder oké 
B: 	de Taarthouder 
B: 	C 
A: 	ja dit zijn weer die raar met die plateau aan de zijkant en wat iets uitsteken wat door een heel groot spijker worden doorboren zullen maar zeggen 
B: 	dit zijn de Taarthouder 
A: 	ja 
A: 	even kijken waar 
A: 	even zoeken even zoeken 
A: 	even kijken 
A: 	o die ja ah ik hebben hem vinden ja ja ja ja met die o daar zijn hij ja ja dat worden dan nummer één 
B: 	ja 
B: 	A 
A: 	ja dit zijn met die omgedraaide Eiffeltoren en met die plateau aan de zijkant 
B: 	de Taarthouder 
A: 	ja dat zijn dan nummertje dertien 
