B: 	oké 
B: 	er zitten een vlak doorheen 
B: 	en er zitten twee dinge bovenaan uit 
B: 	ja 
A: 	ja met een buisje naar voor die op een plateau 
A: 	ja dat zijn nummer zes 
B: 	ja ja 
B: 	ja dat zijn C 
A: 	ja dit hier zitten het plateau eigenlijk er midden doorheen 
A: 	en hij hebben twee uitstekeltjes bovenop en een buis aan de voorkant 
B: 	oké ik hebben diegene met die plaat erdoorheen en dan twee uitsteeksel en nog twee in het midden zeggen maar 
A: 	ja met dat buisje ervoor 
A: 	ja nummer dertien 
B: 	oké 
B: 	ja 
B: 	ja dat zijn J 
A: 	dit zijn hier zitten het plateaut dwars doorheen waar een buis eigenlijk op leunlen 
A: 	met twee klein uitsteekselt aan de bovenkant 
A: 	link zitten ook nog een uitsteeksel 
B: 	oké bij mij ik hebben die met de er erdoorheen en dan twee klein uitsteeksel erboven 
B: 	en zo'n soort van ik vinden het een pijp lijken 
B: 	oké 
A: 	buis buis erop 
A: 	ja dat zijn nummer negen 
B: 	ja dat zijn N 
A: 	en dit zijn dat plateau wat er eigenlijk midden in zitten waar die waar dat rond staafje op leunlen 
