A: 	deze hebben 
A: 	in totaal vier uitsteeksel het komme en vier uitsteeksel twee dezelfde uitsteeksel één aan de voorkant één aan de bovenkant 
A: 	een soort kegel 
A: 	en dan naar voren toe zien je eigenlijk steeds groot worden blok 
A: 	en naar achter toe zitten eigenlijk nog een beetje een kronkelen pijp 
A: 	dus je hebben het kommetje die basisvorm 
A: 	en dan zitten omhoog zitten eigenlijk een kegel en naar voren toe zitten een kegel 
A: 	en dan hebben je eigenlijk een beetje naar achteren toe hebben je nog een een pijp 
A: 	en naar de ander kant toe hebben je één ja een trapsgewijs toelopen blok 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja ervoor 
A: 	ja 
A: 	inderdaad 
B: 	ja ik hebben hem ja ik hebben hem 
B: 	er zitten nog zo'n gek friemel aan de achterkant eigenlijk een beetje 
B: 	ja 
B: 	er steken boven een soort van lepel uit 
B: 	en dat zijn voor mij dan even kijken E 
B: 	deze die hebben een 
B: 	ja wat zijn het ? een soort van lepel die echt recht naar boven steken aan de rechterkant een blok vierkant blok wat steeds groot worden 
B: 	en links een 
B: 	ja zelfde lepel inderdaad en daarachter zitten dan een veel aan de achterkant zitten ook wat 
A: 	ja 
A: 	en die twee tentakel 
A: 	ja 
A: 	dat zijn elf 
B: 	ja 
B: 	dat zijn J voor mij 
A: 	dit zijn weer dat wormp die er in de basisvorm in kronkelt 
A: 	een tentakel een kegel omhoog naar voren 
A: 	en dat traps toewijzend toelopen blok 
B: 	deze hebben weer lepel die erboven en link uitsteekt en rechts de groot worden vierkant 
A: 	zijn aan het zoeken 
A: 	ja dat wormp wat er van achteren weer in komen 
A: 	ja 
A: 	inderdaad en dan nog twee extra kegel erbij 
A: 	dat zijn nummer negen 
B: 	een lepel bovenin even kijken ja dat zijn B 
A: 	dit zijn weer dat wormp dat erin boren 
B: 	met de twee gelijk lepel één boven één link 
A: 	ja dat zijn nummer vier 
