B: 	en zo'n bijzettafel aan de rechterkant 
B: 	L 
B: 	dit zijn weer dat bijzettafelt met een soort van spijker in zo'n steken in zo'n uitstekend ding 
B: 	nee lijken dat rond rond tafel zeggen maar 
B: 	en dan hebben je zo'n ander ding er link uit steken met zo'n spijker erin 
A: 	nu hebben ik ja nee zo'n 
A: 	hij hebben links hebben hij een de enig die nog over zijn volgens mij hebben die een soort staaf en daaraan vast zitten een heel dun dinge 
A: 	waardoor die best wel breed worden op zich ja een soort 
A: 	ja een soort pion ja 
A: 	en dan rechts hebben die nog een soort dienblad vast 
B: 	ja 
B: 	C 
A: 	ja ja ja ik hebben hem 
A: 	nummer zeven 
A: 	dit zijn die pion 
A: 	die uitsteken aan een soort arm 
A: 	en rechts nog een dienblad 
B: 	dit zijn die met de spijker links en het bij rond bijzettafel rechts 
B: 	ja 
B: 	A 
A: 	ja 
A: 	één 
B: 	de de spijker die links uit komen en dan het Ronde klein bijzettafel 
A: 	ik hebben die met de pion en het dienblad 
A: 	nummer dertien 
