B: 	deze hebben een driehoekuitsteeksel aan de linkerkant en boven een blok en een soort pylonne 
B: 	en aan de voorkant nog een rond 
B: 	en ver zijn die best wel simpel 
B: 	aan de bovenkant hebben die aan de rechterkant een een balk zeggen maar en aan de linkerkant iets wat lijken op een pionnetje of zo een 
B: 	nee hij hebben onder helemaal niks 
B: 	hij hebben twee zij Steeksels aan de zijkant en twee aan de bovenkant 
B: 	er zitten nee die steken zeggen maar uit als een driehoekigvormig balk 
B: 	en die zitten aan de linkerkant 
A: 	even 
B: 	een beetje zo in het midden 
B: 	en aan de rechterkant zitten er in het midden komen er een bol uit 
B: 	ja 
B: 	ja ja ja die 
B: 	oké 
A: 	zitten er een bolle rechts in het midden van 
A: 	ja en dan twee ding daarbovenop 
A: 	ja dan zijn het nummer veertien 
B: 	ja 
B: 	oké 
B: 	dat zijn N 
A: 	ja dit zijn degeen met het bollet rechtsvoor 
A: 	bovenop zijn er twee uitsteeksel 
A: 	en links ook nog 
A: 	even bollet rechtsvoor ja 
B: 	ik hebben diegene met twee verschillend uitsteeksel aan de bovenkant 
B: 	een driehoek eruit en een rond aan de voorkant 
A: 	en links nog een uitsteeksel 
B: 	ja 
B: 	oké dit zijn G 
B: 	ik hebben diegene met twee verschillend uitsteeksel en een bol en een driehoekje aan de zijkant 
A: 	dit zijn het figuur met het bollet aan de rechterkant ertegenaan 
A: 	met twee uitsteeksel bovenop en één link 
A: 	ja dat zijn nummer vijf 
B: 	ja denken ik 
B: 	ja dat zijn J 
A: 	dit zijn het figuur met dat balle aan de rechterkant ertegenaan 
A: 	met bovenop twee uitsteeksel en links een uitstekel 
