B: 	ja ik weten hem 
B: 	I 
A: 	en dan klik ik 
A: 	dan komen die 
A: 	ja een emmer met een ja het uiteinde van een pollepel zullen ik zeggen 
A: 	in de emmer dus dat zijn helemaal erbovenop 
A: 	aan de bovenkant 
A: 	en daarvoor komen een één rond stuk eruit 
A: 	en horizontaal door dat door die rond uitstulping zijn er een vierkant staaf die met één die een uitein hebben dat uitmonden in een rond cirkelt 
A: 	ja bovenop zijn dus die die die pollepel die er zo uitsteken 
A: 	een één één 
A: 	ja 
A: 	linkerkant van het midden ja 
A: 	ja een bal 
A: 	ja 
A: 	links een stuk staaf , rechts een stuk staaf en 
A: 	ja aan het uiteinde van die staaf zijn aan de rechterkant inderdaad een ja een cirkel een rond 
A: 	ja 
B: 	ik hebben die dat hand met iets ontstopper in zijn hand 
B: 	wat zijn het ook alweer ah okee l 
B: 	ik hebben die ontstopper in de hand 
B: 	ja b 
A: 	ja 
A: 	ja 
A: 	met een soort zuignap lijken het wel , ik vinden die staaf en dat dat cirkelt zo zuignap dat je zo tegen de muur kunnen drukken 
A: 	nummer negen 
B: 	de ontstopper met de hand 
A: 	deze zijn met de zuignap 
A: 	die je zo vast kunnen maken 
A: 	ja 
A: 	waar zijn hij 
A: 	ja nummer zes 
A: 	dit zijn met het zuignap 
A: 	ja 
A: 	nummer zes 
