A: 	oké deze zijn volgens mij de enig die aan de rechterkant twee rechthoekig staaf hebben 
A: 	ja 
A: 	en een soort hoedje ja 
B: 	en zeggen maar één zijn een isteken aan de zijkant 
B: 	ja 
B: 	I 
A: 	en dan aan de linkerkant zo'n gek uitsteekselt 
A: 	oké dat zijn twee 
A: 	dit zijn die met die twee rechthoe aan de rechterkant 
A: 	en dat hoed een soort van 
B: 	het zijn weer die met dat isteken aan de zijkant 
B: 	ja 
B: 	M 
A: 	dat zijn negen 
A: 	dit zijn die met de twee rechthoe aan de rechterkant 
A: 	dat zijn zes 
B: 	die met dat isteken 
B: 	F 
B: 	de istek 
