A: 	inhaal 
A: 	ok nou ja alles zijn een mok maar er zitten ook een bol op en er zitten door die bol zitten iets wat op een spijker lijken 
A: 	er er boven het lijken 
A: 	ja dat denken ik ook daar denken ik ook aan ja het lijken of iemand een neuspiercing en zo'n staart er achterop 
A: 	ja dat zijn nou dan zijn we al snel er uit 
B: 	oké nu zijn het andersom 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	en dan zitten aan het eind zo'n rond zeggen maar zo'n schotel 
B: 	oké dat zijn voor mij F 
A: 	taak één 
A: 	o we hebben wel mooi naam bedenken 
A: 	vijf 
B: 	oké nu hebben ik die met dat ja soort van neusje aan de zijkant waar dat staafje doorheen zitten met zo'n schild 
B: 	en dan hebben die één zo'n roerstaafje erin 
B: 	dus dat zijn dat ja 
B: 	ja die 
B: 	met dat die staaf erdoorheen 
B: 	en dan zo'n ja 
B: 	ho 
A: 	ja 
A: 	even nadenken het beginnen allemaal 
A: 	nou zijn die met met piercing 
B: 	ja 
B: 	met één zo'n ja dat zijn A 
A: 	ja vijf 
B: 	oké nu hebben ik met die neuspiercing 
A: 	piercing indiaan 
A: 	onderin bij mij in ieder geval in het midden 
B: 	ja 
B: 	even kijken dat zijn bij mij H 
A: 	o ik zien hem al vijftien 
B: 	nu hebben ik met die neuspiercing 
