B: 	waar zitten de propeller 
B: 	ja 
B: 	en de propeller wijken ook af naar rechts 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja oké dan weten ik het 
B: 	dan zijn het M 
A: 	okee 
A: 	ja nou nu weer zo'n koffiekopje 
A: 	aan de voorkant zitten een soort van ja bal 
A: 	en er zitten een houten ja een houten lang stok doorheen 
A: 	met ja één aan een aan één uitein een 
A: 	ja een schijf inderdaad ja 
A: 	die en bovenop nog zo'n pluimp 
A: 	okee 
B: 	een kop met een lepeltje zo zien ik het en een ei met een zuignap 
B: 	ja dat ei hebben een pilaar en daar zuignap ja 
A: 	ah ja met dat pluimp bovenop ook 
A: 	ja 
A: 	dat zijn nummer vier 
B: 	oké makkelijk dat zijn dan K 
B: 	koffiekopje met een zuignap en een ei 
B: 	waar die aan vastgemaakken zijn 
A: 	dit zijn ja het kop met ook een ei aan de voorkant dat ballet met die houten plank erdoorheen 
A: 	met ja het het voetstuk zeggen maar 
A: 	ik zien het altijd als zo'n springpaal zeggen maar die je die je neerzetten waar je een touw tussen spant dus 
A: 	maar dan zijn die horizontaal 
A: 	dus ja die 
B: 	ja 
B: 	ei 
B: 	I 
A: 	ah die Springstok 
A: 	ah nummer dertien 
B: 	een kop met een lepeltje erin en een zuignap die door de ei gespiest zijn 
A: 	deze zijn weer met die springstok 
A: 	eivormig ballet aan de voorkant waar die stok doorheen zitten met dat 
A: 	ja 
A: 	de stok 
A: 	Springstok 
A: 	ja nummer zestien 
