B: 	ja 
B: 	een beetje rond plank of niet dan 
B: 	dat zijn L 
A: 	okeeen een een kop 
A: 	lijken wel alsof die een hand uitsteken voor een dienblad 
A: 	dienblad zitten er ook op 
A: 	ja en dan nog aan de linkerkant een ander uitsteeksel 
A: 	dat een beetje ja ja 
B: 	worden hier goed in 
B: 	een kop met aan de linkerkant een balk waar een spijker uitsteken 
A: 	even zien 
A: 	ah zo ja 
A: 	zullen kunnen 
A: 	ja en er zitten een spijker in gemept 
B: 	op zijn timmeren 
B: 	en een rond plateaut 
A: 	zeggen maar 
A: 	dus dat 
B: 	aan de ander kant 
A: 	ja 
A: 	spijker 
A: 	ja 
A: 	ja 
A: 	nummer dertien 
B: 	H 
A: 	dit zijn die een aan de rechterkant met het dienblad 
A: 	aan de linkerkant dat een raar uitsteeksel vangrailding met de spijker erdoorheen 
B: 	kop met aan de linkerkant een staaf met een spijker of jij noemen het net iets ander 
B: 	ik weten niet veel wat je zeggen 
B: 	ja 
B: 	en aan de rechterkant een rond plateaut 
B: 	A 
A: 	ah ik zien hem al 
A: 	ja 
A: 	numero drie 
B: 	met 
B: 	ik hebben net de verkeerd kiezen 
B: 	links de link namelijk de pilaar met een spijker eruit , rechts een rond plateaut 
A: 	deze zijn met het dienblad 
A: 	en de spijker door de vangrail 
A: 	link 
A: 	waar zijn die nou ? ah nummer vier 
