B: 	die van mij soort van een vierkant midden door de emmer 
B: 	en daarboven zijn soort van klein pijpje 
B: 	en helemaal bovenop zijn twee stok die daaruit komen 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	en hij roken een pijpje 
B: 	ja l 
B: 	deze ja dat zijn die een die het pijpje roken en waar dat vierkant er door die emmer heen zijn halverwege 
B: 	en twee staaf bovenaan uitkomen 
B: 	ja 
B: 	ja 
B: 	n 
B: 	deze hebben dat vierkant dat er dwars doormidd gaan en een pijpje aan de linkerkant 
B: 	twee staaf bovenop 
B: 	b 
A: 	dit zijn zitten ook een plateau in het beker 
A: 	met twee staaf wat uit het beker komen 
A: 	met een soort aan de linkerzijde een armpje 
A: 	en recht voor komen ook een soort staafje naar voren 
A: 	twee balk bovenop 
A: 	één aan de linkerzijde en hij zitten een soort in een soort houdertje zitten hij 
A: 	ja dat zijn nummer negen 
A: 	dit zijn een houder langs het beker heen 
A: 	met de twee staaf uit het beker 
A: 	met een armpje links en met een soort slurfje rechts boven wat eruit komen 
A: 	dus hij zitten zeggen maar in het houder dat beker 
A: 	nee dit hebben niet twee poo 
A: 	dus het hebben zeggen maar uit het beker steken twee soort rechthoekjes uit 
A: 	ja antennedinget 
A: 	en dan hebben het zegn maar een soort slurfje rechtsboven en het hebben een soort tetris vorm links boven en het zitten ook in een houder 
A: 	halverwege het beker dus 
A: 	ja nummer veertien 
A: 	beker zitten in het houder met de twee blok uit het beker 
A: 	slurf aan de rechterzijde ja tetrisdingetje link 
