B: 	ja dat zijn bij mij J 
B: 	deze hebben een soort puntig ding erbovenop 
B: 	met dan dat vierkant wat iets dikk of dat blok dat iets dikk worden aan de onderkant 
A: 	nou dit zijn wel wat ik noemen het feestbees het zijn dus zo'n heel grappig figuur met zo'n hoed een soort van 
A: 	ja en hij lijken op een soort van wielt te staan 
A: 	met zo'n staart 
A: 	ja 
A: 	ja 
A: 	ja een soort van staart 
A: 	ja een neus 
B: 	ik zijn hem aan het zoeken 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	ja die weer met het met de driehoek bovenop en de dat vierkant dat dikk worden 
A: 	ja 
A: 	dat zijn numero zes 
B: 	G 
A: 	ja het feest hoedje 
A: 	ja 
A: 	ja ja 
B: 	die met de driehoek bovenop en dat blok wat groot worden 
A: 	ja ja 
A: 	dat zijn numero tien 
A: 	het feestmuts met dat raar ding aan de aan de aan de kont 
A: 	ja 
A: 	het feestmuts op rollet 
A: 	dat zijn numero tien 
