A: 	deze mok hebben aan de rechterkant twee balk die precies even groot zijn 
A: 	precies ongeveer even groot zijn 
A: 	aan de bovenkant zitten er een soort van driehoek bovenop 
A: 	maar wel een stompe driehoek 
A: 	dan zitten er nog een een soort van balkje aan de links kant en helemaal onderin zitten nog een soort van standaard of zo ja 
A: 	ja 
B: 	ja 
B: 	ja dan 
B: 	ja 
B: 	zitten zo'n dinge nog bovenop 
B: 	ja 
B: 	oké 
B: 	dat zijn B 
B: 	ja volgens mij zijn dit ja die adapter met die dat isteken in ieder geval 
B: 	hij 
B: 	ja er zitten eigenlijk een soort half piramide op met waar de bovenkant zijn af ja ja 
A: 	de stekker dat zijn 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	ja 
B: 	M 
A: 	dit zijn het figuur waar aan de rechterkant twee dezelfde balk uit komen er zitten een driehoek bovenop maar dat zijn wel die stompe driehoek 
A: 	en ja die stekker 
B: 	ja dit zijn die adapter 
B: 	ja dat zijn F 
A: 	de stekker die die dat zijn nummer 
A: 	ja 
A: 	nummer negen 
A: 	ja bij mij ook 
A: 	dit zijn de stekker 
B: 	dit zijn de adapter 
A: 	de stekker zitten ja 
A: 	nummer zes 
