B: 	ja o die hebben zeggen maar dat zelfde ding dat bovenop uitsteken steken aan de voorkant en dan zo'n ding dat langzaamaan groot worden 
B: 	ja dan zijn het E 
A: 	deze vinden ik heel raar 
A: 	deze hebben namelijk een soort van telescoopachtig een soort van die blokachtig trechter 
A: 	die zitten aan de rechterkant 
A: 	en dan zitten er een staaf zitten er vanuit boven zitten erin 
A: 	maar vanuit links zitten er ook in 
A: 	ja 
A: 	ja dat zitten aan de achterkant 
A: 	soort van link 
A: 	ik zitten even na te deze vinden ik ook heel heel raar 
A: 	het zijn een beetje een een een blokkig slurf achtig 
A: 	en dan hebben je nog twee 
A: 	ja 
A: 	ja 
A: 	je hebben nog zo'n ander plaa en die hebben er twee maar deze hebben er dan één 
A: 	ja één zo'n je hebben zeggen maar dan die soort van slurf die met van die blok die steeds klein worden 
A: 	en er zijn een ander die hebben er twee daarvan 
A: 	twee van die blok die steeds klein worden 
A: 	maar dit zijn die ander dus met één en dan vanuit de bovenkant komen er dan een 
A: 	ja 
A: 	en van de zijkant ook ja 
A: 	oké 
B: 	ja dit zijn weer diegene waarbij de de bovenkant dat zelfde ding uitsteken als aan de voorkant en dan zitten er daar nog 
B: 	twee ding naast met die blok die steeds groot worden en een ding dat een beetje afbuigen 
A: 	wachten even hoor 
A: 	die soort van stethoscoopachtig 
A: 	ja 
A: 	stethoscoop telescoop bedoelen ik 
A: 	stethoscoop zijn wel wat ander 
A: 	zo'n zo'n of zo'n oud camera 
A: 	vroeg met zo'n deken 
A: 	ja 
A: 	ja oké dat zijn elf 
B: 	ja 
B: 	dat zijn J 
A: 	dit zijn weer die die die oud camera met die twee buttplug 
A: 	we hebben het ook gewoon kegel kunnen noemen maar goed 
B: 	dit zijn weer diegene waarbij er aan de voorkant en aan de bovenkant hetzelfde ding uitsteken de blok die die groot worden en nog een soort slurf of zo eraan 
A: 	met die oud camera ook weer 
A: 	dat zijn negen 
B: 	ja 
A: 	dit zijn weer die oud camera met twee van die buttplug 
A: 	en die slurf 
B: 	nu hebben je weer dat uitsteeksel dan bovenin en aan de voorkant eruit komen en dan hebben je nog die kronkel en die die uitgeklapt kubus 
A: 	en die oud camera 
A: 	zijn vier 
