B: 	deze hebben eigenlijk ook zo'n soort neus één staaf steken er boven uit en één 
B: 	diamant met dan nog een soort vorm er aan zeggen maar net zoals met die neuspiercing zo'n bol aan de zijkant 
B: 	ja en iets dat aan de zijkant dan nog er uit steken ja 
A: 	ja 
A: 	zo'n soort van staart hebben die hier of zo 
A: 	ja 
A: 	oké dat zijn veertien 
B: 	ik zitten hem even te zoeken hoor 
B: 	ja die twee ding bovenop hebben en nog één aan de zijkant dat zijn dan N 
A: 	dit zijn dat met dat ei aan de voorkant 
A: 	alleen niet zoveel spannends 
A: 	weer die buttplug 
A: 	ja 
A: 	en die wolkenkrabber er zeggen maar bovenop dan 
A: 	ja 
B: 	ja dit zijn weer niet die neus met de neuspiercing maar die neus waarbij die soort ruit met nog een dinge er aan en 
B: 	ja dat balkje en nog één aan de zijkant 
A: 	die niet doorboord zijn 
A: 	dat zijn negen 
B: 	ja 
B: 	ja dat zijn dan G 
B: 	dit zijn die ander niet die neuspiercing maar die ander met die neus en dan die kegel en die ding er nog bij 
A: 	dit zijn weer dat gewoon dat ei op de voorkant 
A: 	en die wolkenkrabber en die buttplug 
A: 	ja dat zijn vijf 
B: 	ja 
B: 	kegel ja ja 
B: 	dat zijn dan J 
A: 	dit zijn weer dat ei met die wolkenkrabber erbovenop 
