B: 	oké dit zijn een kop met lijken zo'n dik neus te hebben aan de voorkant 
B: 	en hebben die één soort van kwast nog eruit 
B: 	en nog twee uitstulpsel 
B: 	ja zo'n dik rond hebben die aan de voorkant 
B: 	ja je hebben net zoals die inboorling 
B: 	maar dan zonder die neuspiercing 
B: 	ja en aan de zijkant ook nog één 
B: 	ja 
A: 	oké 
A: 	ja oké 
A: 	ja dan dan hebben ik hem dat zijn veertien voor mij dan 
B: 	ja 
B: 	dat zijn bij mij nummer N 
B: 	niet 
B: 	letter N weer 
B: 	ik hebben met die gewoon neus 
B: 	niet de inboorlingneus 
A: 	yes 
A: 	oké deze hebben twee kegelt aan de bovenkant die er net wat ander uitzien 
A: 	aan de rechterkant een bol 
A: 	en aan de linkerkant een ook nog een uitsteeksel 
A: 	oké 
B: 	ja dat zijn G 
B: 	ik hebben de nietinboorling 
B: 	de gewoon neus 
B: 	ja zijn J 
A: 	ja dus inderdaad die die die twee kegel boven 
A: 	ja oké dat zijn negen weer 
A: 	yes 
A: 	dit zijn die met de bol rechts en de twee twee kegel aan de bovenkant die er ander uitzien 
A: 	yes oké dat zijn vijf 
A: 	ja oké 
A: 	de bol aan de rechterkant 
A: 	en dan die twee kegel er erbovenop 
A: 	die er ander uitzien 
A: 	yes 
