B: 	oké nou nu zijn het die trofee 
B: 	dat zijn best wel makkelijk ja 
B: 	met dat draaien poo 
A: 	zijn dat met die die schef ding zo aan de onderkant met die kunkelhoek 
A: 	jajaja nee dan weten ik het al ja 
A: 	ja 
A: 	ja vier 
A: 	ok dat zijn die met die met dat kronkel opzetstuk weten je wel met dat gedraaide lijken ook op beetje op een glas 
A: 	die heel hoog lijken ook een beetje op een struisvogel of zo 
A: 	ja klopt die 
B: 	oké 
B: 	A 
A: 	dat ding ja tien 
B: 	oké dit zijn die trofee 
A: 	die die struisvogel Slash wijnglas of zo ja 
B: 	dat zijn bij mij L 
A: 	even zoeken ik zien hem al ja vier 
A: 	die struisvogel Slash wijnglas of zo of ver kennen 
B: 	nu hebben ik die trofee 
B: 	ja 
B: 	dat zijn bij mij F 
