A: 	oké 
A: 	dit figuur dat hebben een soort van klein een belle of een haarpluk aan de bovenkant 
B: 	ja 
A: 	en aan de voorkant zitten er een één dat zijn misschien een makkelijk omschrijving een balle met een balk erdoorheen 
B: 	ja 
B: 	met een plat stuk eraan 
B: 	ja dan weten ik welk het zijn en er zitten nog één fliep 
B: 	ja 
B: 	oké dan zijn het F 
A: 	ja 
B: 	oké dit zijn degeen met de bal aan de voorkant waar dat ding doorheen zitten en dan aan de achterkant nog zo dat 
A: 	ja met een met een toe erbovenop of een één 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	ja dat zijn A 
B: 	ik hebben diegene met een bol aan de voorkant waar een ding doorheen zitten en één fliebel 
A: 	deze ja dat hamer met dat bollet erdoor het bollet zitten aan de voorkant 
A: 	er zitten een staafje door het lijken wel alsof die vastzitten aan de muur 
A: 	met een nog zo'n klein dinge erbovenop 
A: 	ja 
A: 	ja dat zijn nummer vijf 
B: 	ja 
B: 	ja even zoeken ja ja dat zijn h 
A: 	dit zijn diegene met dat ballet rechtsvoor waar dat staafje door zitten 
A: 	met het klein toe erbovenop 
B: 	ik hebben die boor met die balk erdoorheen met zo'n fliebel in die pot 
A: 	even kijken waar die zitten 
A: 	ja dat zijn nummer vijftien 
