B: 	ja een soort van kogel of niet 
B: 	ja ja die vinden ik ook echt heel raar 
B: 	ja dat zijn J bij mij 
A: 	deze hebben een piramide op het dak 
A: 	en een heel raar blok aan de voorkant 
A: 	en die zijn nog een soort champagnefle aan de zijkant 
B: 	weer met dat soort van piramide op zijn hoofd en die soort van kogel aan de zijkant 
B: 	ja 
B: 	ja en een gek hoek 
A: 	ja 
A: 	dat zijn nummer zes 
B: 	right 
B: 	ja 
B: 	ja dinge 
B: 	dat zijn E bij mij 
A: 	met die piramide op zijn dak en die Champagnefles 
B: 	top 
B: 	het zijn weer die piramide op zijn hoofd en dan een soort van kogelachtig aan de zijkant 
A: 	ja 
A: 	ja dat zijn nummer tien 
B: 	ja dat zijn G 
B: 	nice 
B: 	ik weten ook gelijk wat je bedoelen toen je piramide zeggen 
B: 	nee klopt 
A: 	de piramide met de Champagnefles 
B: 	ander plek 
B: 	piramide op zijn hoofd 
B: 	en de kogel aan de zijkant 
A: 	tien 
