A: 	deze hij hebben een hoofd en twee armp met een staafje 
B: 	ja 
B: 	zeggen maar poppe alsof die iets gaan omhelzen 
B: 	zoiets ja oké nee dan zijn het zijn het d 
A: 	ja die die 
A: 	ja 
A: 	vijftien 
B: 	dit zijn een poppe wat een balkje omhelsen met Bovenin ook een cirkel op het hoofd 
B: 	of op het figuur 
B: 	ja 
A: 	het 
A: 	nee het ik willen je omarmen 
A: 	ja 
A: 	zijn zes 
B: 	ja dat zijn L 
A: 	dit zijn de hug me 
B: 	de het omhelzen poppet zijn dit 
A: 	met die die wokkel 
A: 	die 
A: 	ja 
A: 	drie 
B: 	de omhelzing J 
B: 	de omhelzing 
