B: 	oké 
B: 	ja 
B: 	en onder 
B: 	ja 
B: 	dat zijn voor mij de letter I 
A: 	dit vinden ik een Angry Bird lijken 
A: 	die een soort beetje ja hanenkamden 
A: 	en dan aan de zijkant twee een soort bekje vormen het twee balk die een bek vormen 
A: 	en dan naar achteren toe eigenlijk een een staafje 
A: 	die een vleugel zullen kunnen voorstellen en dan onderaan nog een staart 
A: 	hij hebben twee balk 
A: 	ja inderdaad 
A: 	oké 
A: 	ja 
A: 	ja 
B: 	even kijken deze hebben zo'n mooi trapezium als je net zeggen aan de bovenkant en rechts 
B: 	twee uitstekend balk van dezelfde grootte en dikte 
B: 	en aan de onderkant een haakje die naar link wijzen 
B: 	even kijken ja het haak aan de onderkant dus dat zijn voor mij M 
A: 	Angy Bird 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer twee bij mij 
A: 	dit zijn de Angry Bird 
B: 	dit zijn de trapezium bovenop met de twee uitstekend rechthoekje aan de rechterkant 
B: 	even kijken dat zijn F voor mij 
A: 	oké 
A: 	dat zijn nummer negen 
A: 	dit zijn de Angry Bird 
B: 	trapezium met de twee uitstekelt uitsteeksel rechts 
A: 	ja dat zijn nummer zes 
