A: 	o en erboven zitten nog een normaal spijker 
A: 	ja vlak ja ja dat weten ik wel 
A: 	twee 
B: 	oké 
B: 	dan hebben ik die met die twee verrekijkert 
B: 	ja 
B: 	en dan zo'n vierkant dinge aan de zijkant 
B: 	ja 
A: 	nou hier zitten gewoon wat het veel lijken op een spijker bovenin en dan twee van die vierkant achtig ding aan de linkerkant 
A: 	ja de normaal spijker 
A: 	ja ook ja 
B: 	met twee 
B: 	even kijken waar die staan 
B: 	daar 
B: 	G 
A: 	o 
A: 	o met die met dat platvorm en die normaal spijker 
A: 	bedoelen je 
A: 	ja die normaal spijker ja dat dan weten ik al genoeg 
A: 	ja negen 
B: 	oké dit zijn met die twee verrekijker en die antenne 
A: 	die met die normaal spijker 
A: 	ja 
B: 	met twee dat zijn D 
A: 	ja één 
A: 	één misgaan vlot nu 
B: 	dit zijn met die dubbel verrekijker 
A: 	met die normaal spijker en dat vierkan of ja vierkant 
B: 	die zijn wisselen met die penseel van mij volgens mij 
B: 	ja 
B: 	even kijken dat zijn bij mij B 
