B: 	okee ja mijne staan op een soort een ovaal verhoging 
B: 	komen één zeshoekig pijp uit 
B: 	soort van een handvat erin en aan de achterkant zijn een rond achter de mok 
B: 	soort van 
B: 	ja 
B: 	ja 
A: 	ja er zitten een soort lepeltje in een mok cirkel achter links een handvat en een dinge onder 
A: 	okee 
A: 	en dan mogen ik drukken 
A: 	ja ik hebben nummer 
A: 	nummer twee 
A: 	en dan drukken 
A: 	gewoon enter drukken of 
A: 	nee gewoon één van die knop drukken 
A: 	ah okee 
B: 	ik zeggen wel ja 
B: 	ja 
B: 	o 
B: 	deze staat op een ovaal verhoging hebben aan de linkerkant een zeshoekachtig staaf eruit hangen 
B: 	en een half cirkel erachter ja 
B: 	ja b 
B: 	deze hebben de cirkel half cirkel erachter en hij staan op die ovaal verhoging 
A: 	deze hebben een roerstaafje erin zitten 
A: 	of laten maar zeggen een soort lepeltje 
A: 	en het beker staan zelf ook op een soort ja Rechthoekachtig vormp hebben hij dus de onderzijde zijn niet helemaal zo cirkelvormig zoals bij de ander beker maar dan staan hij op een soort rechthoekje 
A: 	aan de linkerzijde hebben het een armpje en daarachter lijken een soort cirkeltje vastgeplakt 
B: 	h 
A: 	ja dat zijn nummer veertien 
A: 	met de afwijken onderzijde met een lepeltje erin 
A: 	een soort cirkeltje wat erachter zijn plakken en aan de linkerzijde nog een staafje 
A: 	nummer zeven 
A: 	afwijken onderkant van het beker 
A: 	lepel erin 
A: 	cirkel achter 
A: 	en het 
