A: 	ja 
A: 	ik ik denken veel dat het een soort soort fancy cocktailglas zijn maar 
A: 	nummer vier 
B: 	oké dit dit zijn het voetje met spiraal 
B: 	ja 
B: 	ja driehoek onderaan en een vierkant bovenop ja 
B: 	C 
B: 	de de de spiraal 
B: 	ja 
B: 	A achten 
A: 	dit zijn wat ik net zeggen dat raar cocktailglas wat jij zeggen een soort ander ding 
A: 	je hebben zeggen maar dat dat voetstukje dat zijn zo draaien en dat staan op het driehoekje 
A: 	en dan met die blok erop zeggen maar 
B: 	dit zijn een spiraal op het driehoekig voe 
B: 	en dan zo omhoog 
B: 	ja K bij mij 
A: 	ja 
A: 	nummer tien 
B: 	even kijken 
B: 	L twee 
A: 	het fancy cocktailglas 
A: 	met het driehoekje onderop 
B: 	de spiraal met het voe 
B: 	E 
B: 	F 
B: 	F twee 
A: 	nummer vier 
A: 	het cocktailglas 
