A: 	bij mij ook 
A: 	deze mok hebben een heel een heel groot uitsteeksel aan de links kant dus eerst zitten er een soort van balkje uit en dan steken er zo'n ik vinden het een pylon op zijn kop 
A: 	die staan erbovenop en dan nog een 
A: 	ja 
A: 	en dan nog een recht aan de rechterkant een muntstuk wat er een beetje zo uit steken 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	zo'n soort Eiffeltoren op zijn kop 
B: 	ja 
B: 	oké dat zijn L 
B: 	ja dit zijn ja weer het kop met dat een plat plaa en die omgekeerd Eiffeltoren 
A: 	ja die pylon op zijn kop 
A: 	ja nummer zeven 
B: 	ja het zijn zeggen maar één zo dat zijn eigenlijk die naald zeggen maar die er 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	ja ja 
B: 	ja ja ja 
B: 	ja 
B: 	C 
A: 	deze zijn met die pylon op zijn kop 
A: 	die op dat armpje steunen en het dienblad 
B: 	dat zijn die naald in die arm 
A: 	ja 
A: 	met het dienblad en die pylon dat zijn nummer één 
B: 	A 
A: 	dit zijn het dienblad met die pylon omgekeerd 
B: 	de naald 
B: 	in de arm 
A: 	top 
A: 	ja met die pylon 
A: 	ja 
A: 	dertien 
