A: 	ja 
A: 	ja en aan de onder 
A: 	ja ja ja 
A: 	ja 
A: 	ja 
A: 	vijf 
B: 	zijn aan de voorkant zitten een cirkeltje er zitten een soort van 
B: 	aan allebei de kant drie aan elkaar geplakken diaman 
B: 	oké 
A: 	even kijken jij hebben hem volgens mij als Pippi Langkous benoemen 
A: 	met de drie kraalt en de ja 
B: 	ja 
B: 	oké dat zijn J 
A: 	Pippi Langkous oké 
A: 	ja Pippi Langkous 
A: 	elf 
B: 	dit zijn de Pippi Langkous 
A: 	Pippi Langkous 
B: 	ja dat zijn P 
B: 	ja 
A: 	Pippi Langkous dat zijn negen 
B: 	Pippi Langkous 
A: 	ja Pippi Langkous 
B: 	en dat zijn L 
