A: 	ja deze hebben aan de onderkant een ja een balkje wat ook wijzen naar naar rechts 
A: 	daarnaast aan de linkerkant hebben hij helemaal niks 
A: 	aan de rechterkant ja ook soort twee object die ook naar rechts wijzen 
A: 	en bovenaan een soort van ruit met twee oor eraan 
A: 	ja 
A: 	ja 
B: 	alright 
B: 	ja 
B: 	ja ja 
B: 	en hij hebben ook een soort van neus toch 
B: 	soort van 
B: 	ja 
B: 	ja dan denken ik dat ik hem ook wel weten ik gaan voor k 
A: 	ja 
A: 	onderaan wijzen hij een beetje richting rechts 
A: 	ja 
A: 	dat zijn elf 
A: 	ja dit zijn weer dat uitstekel aan de onderkant wat naar rechts wijzen 
A: 	dan zitten ook aan de rechterkant twee weer twee van die uitsteeksel 
A: 	en bovenaan die ruit of ja andersom 
A: 	met die oort 
B: 	okee dit zijn een kop waarbij je bovenop een twee van die legoblokantennet hebben 
B: 	met een een vierkan wat er in het kop staan 
B: 	een soort pinokkio-neus 
B: 	een haak naar onder uitsteken 
A: 	zo je bedoelen ook met aan de linkerkant zitten er niks en aan de rechterkant zitten die twee raar 
B: 	en aan de ander kant hebben je ook een uitstekend haak aan de rechterkant zijn dat 
A: 	okee 
A: 	ja dat zijn elf 
B: 	ja 
B: 	met lego dinget ja 
A: 	dit zijn weer ja dat ruitje inderdaad met die oort wat lijken op wat zeggen je nou wat nee het lijken op een bom nee met twee van die ding rechts 
A: 	onderaan ook een een figuur dat naar rechts gaan van onder naar rechts 
A: 	weer dat ruit met die oort eraan 
A: 	dat ruit aan de bovenkant 
A: 	heel duidelijk 
A: 	ja 
A: 	onderaan zitten een soort steel wat naar van onderuit naar rechts wijzen 
A: 	aan de rechterkant weer twee ja 
A: 	ja 
A: 	ja dat 
A: 	een ruit zijn het een beetje 
A: 	ja 
A: 	nummer zes 
B: 	ja 
B: 	dat zijn k 
B: 	ja 
B: 	ruitvorm met legoblok aan de bovenkant 
B: 	pinokkio-neus 
B: 	ja 
B: 	dat zijn voor mij j 
B: 	ruitvorm met legoblok erdoorheen 
