A: 	oké 
A: 	en dan hebben die aan de linkerkant een een staaf die link gaan en iets omhoog 
A: 	twee stickert recht omhoog 
A: 	en nog een ronde beetje aan de voorkant 
A: 	oké 
A: 	dat zijn nummer zes 
B: 	oké de volgen 
B: 	deze hebben dat een een vierkant plaat in het midden die hem zeggen maar doormidd halen 
B: 	ja en twee haart bovenop 
B: 	oké 
B: 	dat zijn bij mij C 
B: 	oké 
B: 	dit zijn die met het met de plaat doormidd zijn haken 
B: 	en de twee schoorsteen bovenop 
B: 	ja 
B: 	dat zijn J 
A: 	dan hebben we de koffiekop met de dun stekkerdinge aan de bovenkant 
A: 	met laag rond de middel de het vierkant eromheen 
A: 	oké 
A: 	en de vierkant rok 
A: 	dat zijn nummer dertien 
B: 	door het vlak doormidd halen 
B: 	dat zijn N 
A: 	volgen zijn de stekkert aan de bovenkant 
A: 	vierkant rok in het midden 
A: 	en nog twee uitsteeksel 
A: 	ja nummer negen zijn dat 
A: 	negen 
A: 	de stekkert aan de bovenkant 
A: 	vierkant rok om het midden 
