A: 	er komen een soort aan de bovenkant een soort van vierkant vlak uit wat er een beetje schuin in vallen 
A: 	en dan hebben je aan beide kant een soort van staaf wat erdoorheen zitten 
A: 	en aan de linkerkant zijn die kort als aan de rechterkant 
A: 	ja ja 
A: 	ja 
B: 	die ja 
B: 	ja dat zijn K 
A: 	even kijken een vierkant vlak 
A: 	ja 
A: 	met dat dinge eronder 
A: 	aan dat schuin vierkant vlak 
A: 	zitten een dinge onder 
B: 	ja hier zijn het eigenlijk weer die rugtas niet die dat klein rugtas maar die groot met die uitsteeksel 
A: 	ja 
B: 	ja ja 
A: 	nummer 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	groot rugtas dat zijn F 
A: 	deze hebben aan allebei de kant zo'n stanget die eruit komen met zo'n bolle erop en dan zo'n schuin 
A: 	vierkant vlak wat erin vallen 
A: 	met een dinge er onderaan 
A: 	onderaan dat vierkant vlak 
B: 	de groot rugtas 
A: 	ja 
A: 	ja en dat vierkant vlak wat erin vallen staan schuin 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer drie 
B: 	de groot tas 
B: 	nee ik hebben alleen de klein zien 
B: 	waar ? ah daar 
B: 	L 
B: 	dit zijn de groot boekentas 
A: 	ik hebben deze omschrijven als een spagaat maar dat zijn die een met dat schuin vlak wat erin vallen en dan aan allebei de kant komen er een staaf uit met een bolle aan 
A: 	dat en die staaf één zijn lang dan de ander 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	spagaat 
A: 	vijf 
