A: 	het lijken een beetje op een rugtas met een boek zeggen maar zo half eruit maar wel een rugtas met twee arm 
B: 	ja nou die dat zien zitten allemaal aan de achterkant van dat ding 
B: 	of niet 
B: 	ik ik vinden hem een beetje op een honkbalknuppel lijken die achter een kop liggen 
B: 	ja 
B: 	K 
A: 	groot met de uitsteeksel en dat een flap daarachter toch ? die schuin achter 
A: 	ja negen 
B: 	nu hebben ik weer die met die met die hoe heten dat ? met die honkbalknuppel 
A: 	dit zijn de groot rugtas 
B: 	ja 
B: 	honkbalknuppel 
B: 	ja 
B: 	even kijken dat zijn F 
A: 	groot rugtas ja 
A: 	drie 
B: 	die honkbalknuppel 
B: 	hebben ik nu 
A: 	dit zijn de groot tas 
A: 	groot rugtas 
B: 	ja 
B: 	L 
B: 	die honkbalknuppel 
B: 	of elektrisch fiets 
A: 	groot boekentas waar staan je nou ? 
A: 	ja 
A: 	vijf 
