B: 	en zo'n langwerpig ja ja 
B: 	dat zijn d bij mij 
B: 	mooi hoe we dezelfde 
A: 	dit zijn een soort man en hij staan een beetje zo 
A: 	en hij hebben zo'n balk in het midden en een een bol op zijn kop 
B: 	alright 
B: 	een bolle bovenop 
B: 	en dan zo'n lang staaf aan de voorkant met van die armp 
B: 	yes 
A: 	ja 
A: 	ja dat zijn nummer vijftien 
B: 	staaf 
B: 	ja dat zijn even ja dat zijn de L 
B: 	kijken welk letter bij wat horen 
A: 	dit zijn de balkenknuffelaar 
B: 	oké weer die met dat bollet bovenop 
B: 	en die staaf voor en die armp zo 
A: 	zijn nummer zes 
B: 	ja en die lang staaf dat zijn de J 
A: 	de balkenknuffelaar 
B: 	weer dat bolle bovenop en die lang staaf en die armp 
A: 	dat zijn drie 
