A: 	ja dit zijn vinden ik die veel abstract figuur 
A: 	dit zijn met die spits punt 
A: 	helemaal boven en dan onder hebben je zo'n rond en aan de voorkant zitten zo'n conisch vierkant blok 
A: 	en aan de zijkant zitten nog zo'n 
B: 	o ja ja dat ik weten welk je bedoelen 
B: 	ja ja dat zijn bij mij J 
B: 	ok dan moeten ik klikken 
A: 	ja precies 
A: 	ja ja ja 
A: 	dat zijn zes 
B: 	dit zijn dat een met dat punt punt punthoedje eigenlijk vinden ik het een beetje er bovenop 
B: 	en 
B: 	ja ja 
B: 	ok bij mij H 
A: 	ja dit zijn weer die gek figuur met die spits punt 
A: 	ja 
A: 	nee precies 
B: 	dat zijn E bij mij 
A: 	die spits driehoek 
A: 	dat zijn tien 
B: 	o dit zijn die een met dat hoed boven en voor zo'n afgesneden piramide achtig iets ja 
B: 	ok bij mij A 
A: 	ja dit zijn die spits spits driehoek aan de achterkant en dat raar figuur weten je wel 
A: 	met die spits driehoek 
A: 	ja 
A: 	tien 
B: 	even kijken o daar o G 
B: 	dit zijn weer dat dat ja hoedje voorop en dat driehoekje afsnijden ja 
B: 	ok bij mij K 
