A: 	okee hier zitten veel 
A: 	onderop de emmer hebben je een uitsteeksel die naar jou toegericht gaan 
A: 	rechts hebben je ook één die uitsteekken en dan naar voor komen 
A: 	en een klein cilinderachtig balk die net erboven uitsteken 
A: 	en bovenop hebben je twee ruit 
A: 	die aan elkaar plakken zijn 
A: 	en daaruit aan beide kant komen kubuss 
B: 	ja 
B: 	ja 
B: 	ik zien wat je bedoelen het zitten zitten alsof er iets erop zitten 
B: 	E 
A: 	ja 
A: 	tien 
B: 	dit zijn alsof er een vierkant in de kop zijn zetten met twee gelijk pixelachtig dinget erin 
B: 	er zitten een staart aan de onderkant 
B: 	alsof dat vierkan in dat kop zijn zetten 
B: 	je zien nog groot deel van het vierkan en uit dat vierkan komen twee gelijk figuurt 
B: 	en aan de linkerkant de rechterkant zitten een heel klein figuur en net iets daaronder zitten een iets groot figuur 
B: 	en aan de onderkant een soort van glijbaan 
B: 	staart 
B: 	ja 
B: 	ja 
B: 	driehoek , oké 
A: 	deze hebben die twee ruit bovenop met daaruit kubus 
A: 	de ruit bovenop 
A: 	ja drie 
B: 	wachten even , nog een keer 
B: 	ja 
B: 	en twee dinge eruit 
B: 	ja 
B: 	ja 
B: 	oké 
B: 	D 
A: 	die hebben die twee ruit bovenop met die blok 
A: 	twee 
B: 	moeten nog even zoeken 
B: 	zitten een driehoek bovenop met twee gelijk dinge aan de zijkant 
B: 	driehoek zitten op de kop erin 
B: 	staart aan de onderkant 
B: 	ja 
B: 	ja 
B: 	L 
B: 	driehoek op bovenkant , twee dinget die eruit komen 
B: 	ja 
