B: 	ja ik weten welk je bedoelen 
B: 	dat zijn K 
A: 	ik hebben nu ja er steken zeggen maar links en rechts een soort van pilaar uit 
A: 	het lijken een beetje op een zoutpo met zo'n bol zeggen maar nog erbovenop op die pilaar een soort van 
A: 	en aan de achterkant steken een soort van klep uit en daaruit steken weer een soort van Buis 
A: 	oké 
B: 	deze hebben weer zo'n doorlopen staaf met aan het einde een bol en aan de ander kant ook het einde een bol 
B: 	en een soort schuin plaat link 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	ja 
B: 	ik zijn hem even aan het zoeken 
B: 	ja dat zijn bij mij F 
A: 	even kijken dit zijn die een met die zout pott zeggen maar aan de zijkant 
A: 	en achteruit die klep met weer dat daaruit weer dat aansteeksel uitsteeksel 
B: 	die doorlopen staaf met die boll aan de zijkant 
B: 	en die plank schuin 
B: 	L 
A: 	ja dat zijn nummer drie 
B: 	die met die strokk staaf met die twee boll aan de zijkant 
A: 	dit zijn met die zoutding zeggen maar aan de zijkant 
A: 	ja dat zijn nummer vijf 
