B: 	ja die herken ik en nou moeten ik hem even zoeken 
B: 	d 
A: 	deze hebben aan de rechterkant twee uitstekend paneel zullen ik zeggen 
A: 	en bovenop eigenlijk een soort hoedje dat toelopen 
A: 	en speciaal 
A: 	okee 
A: 	ik geven de hoop al op 
B: 	het ISteken aan de rechterkant 
B: 	p 
B: 	het ISteken aan de rechterkant 
B: 	l 
A: 	ja drie 
B: 	het ISteken aan de rechterkant 
A: 	deze hebben rechts twee paneel 
A: 	en een hoed met een plat dak 
A: 	of een plat hoed 
A: 	of een plat dak 
A: 	precies 
A: 	een fez 
A: 	ik hebben hem dertien 
A: 	twee uithangbord aan de rechterkant 
A: 	en plat hoed 
A: 	ja 
A: 	ja fez zijn wel genoeg nu die gaan ik niet veel vergeten 
A: 	even kijken waar hij zijn 
A: 	ja zeven 
