A: 	dit zijn een kegelvorm dus zo'n vorm 
A: 	en die staan bovenop de op het kop zijn eigenlijk de enig die zo zijn 
A: 	ja die zijn hol 
A: 	en dan zitten daar links een klein uitsteekselt en 
A: 	okee 
B: 	ja ja ja 
B: 	zijn een soort vogel als je hem op zijn zij kijken 
B: 	ja 
B: 	en dat zijn een G 
A: 	die zijn makkelijk 
A: 	hol kegel bovenop dat zijn zeven 
B: 	dat zijn de vogel op zijn kant 
B: 	of met een feesthoed op 
A: 	deze hebben die die kegelvorm bovenin die hol zijn 
A: 	hol kegel zijn nummer zeven 
B: 	ja 
B: 	dat zijn M 
A: 	dit zijn met met de kegelvorm die hol zijn 
A: 	hol kegel zijn nummer twaalf 
B: 	vogel op zijn zij 
B: 	met een feesthoed op van de bovenkant van de voorkant gewoon zien 
B: 	G 
B: 	vogel met een feesthoed op 
