A: 	ja 
A: 	ja en er steken twee van die ding uit aan de zijkant dezelfde 
A: 	ja en dan op 
A: 	plat nee plat rond aan de voorkant 
A: 	ja kunnen er maar één zijn dat zijn nummer vijfteen 
B: 	nou deze die zijn wel we hebben het net over één die op een onderzetter staan 
B: 	dat zijn deze 
B: 	deze zijn er niet doorheen zakken 
B: 	ja er zitten een een een soort van schijf aan de voorkant 
B: 	een soort van kraantje link 
B: 	en aan de achterkant zullen dat misschien ook zo zijn maar die zien je dan maar half 
B: 	en een een links en rechts achter het kop ook een aantal ja diaman 
B: 	kraal 
B: 	ja 
A: 	deze die staan op dat vierkant plateau met die twee dezelfde vorm aan de zijkant van die rond 
A: 	plat cirkel 
A: 	ja 
A: 	yes ja dat zijn nummer vier 
B: 	ja 
B: 	okee dan gaan ik voor e 
A: 	deze staan op dat vierkant platform met die twee dezelfde ding aan de zijkant 
A: 	yes dat zijn negen 
B: 	deze zijn wel op zijn onderzetter blijven staan 
B: 	rond schijf aan de voorkant en diamantfiguurtjes aan de achterkant 
A: 	dit zijn op de vierkant plateau met die twee dezelfde rond ding aan de zijkant 
A: 	ja ja 
B: 	ja 
B: 	b 
B: 	deze staat nog wel gewoon op zijn onderzetter 
B: 	en kraalvorm aan de achterkant 
B: 	p 
