A: 	jij 
A: 	even kijken hoor en die liggen daar gewoon plat bovenop 
A: 	ja nog zo'n klein en dan nog een soor graafarmpje aan de ander kant 
A: 	niet 
A: 	zo'n half rond dinget ja het kunnen eigenlijk toch niet echt een ander zijn 
A: 	en dan aan de een kant nog zo'n klein stok met een 
A: 	ja ja precies oké 
A: 	nummer acht zijn dat 
B: 	ja dit weten ik niet echt helemaal een goed naam voor te opgeven maar je hebben dat rond dingetje en dan zitten er gewoon eigenlijk een rechthoek zitten er gewoon op 
B: 	en aan de linkerkant iets zitten een rond wat een beetje uitlopen en aan de rechterkant zitten ook nog iets waar een staafje weer op staat 
B: 	het zijn zeggen maar wat een beetje een heel recht gezicht of zo waarmee ik het een beetje kunnen vergelijken 
B: 	tenmi zitten echt zo'n zo'n zo'n rechthoek zitten echt erop op op het er op ja 
B: 	ja ja die ja 
B: 	o wachten 
B: 	even kijken hoor ja ik hebben ik zien ik hebben maar één oor dan zeggen maar 
B: 	o wachten o ja dan zijn het denken ik wel hetzelfde ja 
B: 	ok bij mij N 
A: 	even kijken deze hebben die plat rechthoek bovenop 
A: 	en dan inderdaad ook weer dat halfronde dinge aan de zijkant 
A: 	met één zo'n dun rechthoekje aan de ander kant soort graafarmp blok 
A: 	snapen je 
A: 	hij hebben zo'n rechthoekig balk 
A: 	ja 
A: 	dun dinge aan de zijkant en dan een half rond aan de zijkant 
A: 	oké 
A: 	ja die zijn moeilijk uitleggen hè ? ja 
A: 	ja 
A: 	ja precies 
A: 	ja één 
B: 	o die met dat dinge er 
B: 	o wachten 
B: 	o welk oor o die oor wachten 
B: 	even kijken waar die staan waar staan hij nou o hier ja dat zijn E bij mij 
B: 	ok 
A: 	oké deze zijn weer met dat balkje bovenop en dat half rond aan de zijkant 
A: 	oké 
A: 	nummer vier 
A: 	zijn het niet gewoon A één B 
A: 	dat zijn E bij jou 
A: 	dus 
A: 	A B C D E ja je hebben gelijk sorry never mind 
A: 	laten maar 
A: 	dat zullen makkelijk zijn ja maar dat zijn niet nee oké laten maar 
A: 	zijn makkelijk zijn dan zijn we er snel uit 
A: 	precies 
B: 	o ja o dat zijn die een met die twee oor en dat gezicht een beetje 
B: 	beetje zo schuin omlaag met dat vierkan er boven 
B: 	ja ja 
B: 	ja bij mij O 
A: 	oké 
A: 	ja 
A: 	nou dit zijn echt nog het moeilijk gaan zoeken waar die dan zijn 
A: 	nummer zestien 
A: 	ja precies inmiddels wel waar zijn die 
B: 	waar zijn hij 
B: 	ja ik snapen wel welk je bedoelen E zijn dat bij mij 
B: 	ok 
A: 	oké deze zijn weer met dat balkje bovenop en dan dat half rond aan de zijkant 
B: 	o dit zijn weer die een met die twee oor en dat staafje zo en dan op het hoofd 
B: 	ok bij mij C 
B: 	m m o hier O 
B: 	even klikken 
