B: 	ja deze noemen ik driehoekneus met oorbel 
A: 	ja 
B: 	en hanenkam 
B: 	ja 
B: 	oké 
A: 	beetje beetje driehoekig cilindervormpje 
B: 	ja 
B: 	hij hij hebben een een driehoekig neus met een staafje daarbovenuit en hij hebben van die en symmetrisch zijn die en hij hebben oorbel 
A: 	ja 
B: 	of ja oor die naar beneden hangen 
B: 	even kijken het zijn volgens mij de ja nee er zijn veel symmetrisch 
A: 	yes 
A: 	ja die liggen gelijk in de richting van het staafje van de neus zeggen maar 
B: 	en hij hebben een balk bovenop 
A: 	ja 
A: 	nummer achten 
B: 	en die die liggen plat 
B: 	N 
B: 	ja Nico 
B: 	ja ik weten welk het zijn ik moeten hem even zoeken 
B: 	ja E 
B: 	E één 
A: 	even kijken dit zijn die een ik vinden hem zelf een beetje op een soort gezich met een hanenkamme lijken 
A: 	je hebben zeggen maar aan de twee aan de zijkant hebben je dus wat jij zeggen dat er een soort twee uitlaat zijn 
A: 	en dan zo'n driehoekig neusje ervoor waar een staafje uit komen en dan dat balkje recht op het hoofd 
B: 	dit zijn de die ik oorbel noemen met die driehoek 
B: 	dat zijn O bij mij 
B: 	O 
A: 	ja 
A: 	ja een soort hoofdje met een hanenkamme 
A: 	ik hebben hem vinden nummer één 
B: 	moeten jij 
B: 	even kijken 
B: 	ja die balk op het hoofd 
B: 	vier 
B: 	E vier 
A: 	dit zijn wat ik dus op dat hoofd met hanenkamme vinden lijken je hebben die twee uitlaa aan de zijkant en dan dat balkje recht op zijn hoofd 
B: 	oké deze dit zijn die met die met die balk op het hoofd die hanenkam en die laaghangen oor 
B: 	ja oorbel 
B: 	ja mijn oorbel in denken ik ja 
B: 	ja die driehoekig neus 
B: 	C 
B: 	ja die met die met die balk 
B: 	ja 
B: 	O 
B: 	O één 
A: 	oké met het neusje met het staafje erop 
A: 	ja 
A: 	nummer zestien 
A: 	wat ik dus op het hoofd vinden lijken met de hanenkam 
A: 	armpje naar voren waar het stok uit steken en die dinget aan de zijkant 
A: 	ja 
A: 	dat balk 
A: 	nee nee dat balkje wat op zijn hoofd liggen 
A: 	ja die 
