B: 	je kunnen het een beetje beschrijven als twee oog die die aan de linkerkant hebben als verrekijker en een vierkant erop plakken 
B: 	aan de voorkant 
B: 	ja 
A: 	en Antenne of zoiets ja 
A: 	ok ja ja nummertje twee zijn het dan 
A: 	ja dit zijn dan eigenlijk zo'n blok met zo'n antennetje bovenop zo zo'n paddenstoel en dan eigenlijk met die twee uitsteek ding ja 
A: 	ja die zo'n bril of achtig gebeuren zijn verrekijker ja 
A: 	ja die plaat nog erbij ja ja ja 
B: 	met het vierkant voorop 
B: 	ja 
B: 	G 
B: 	dit zijn de verrekijker met vierkant voorop en het plubbel bovenop 
A: 	ok 
A: 	aan de zijkant en dan met die blok die er uit gaan die twee ok dat zijn dan nummertje negen 
B: 	D 
A: 	ja dat zijn die met die paddenstoel en met de kaas plak aan de zijkant en met die uitgekuubte kubus ja 
B: 	dit zijn de verrekijker met het vierkan voorop plakken 
A: 	ja 
A: 	ja dat zijn dan nummer één 
B: 	met het vierkan 
B: 	waar staan die 
A: 	ja dit zijn die paddenstoel bovenop en dat kaasplak aan de zijkant en die uitgeklapte kubus ja 
