A: 	dit zijn die zeggen maar die emmer en dan hebben je twee van die rechthoekig boven elkaar zitten 
A: 	en dan hebben je boven 
A: 	ja dat alleen dan dan plat zeggen maar 
A: 	ja zo'n staart aan de achterkant 
A: 	ja zo'n staart onder en dan ja in het midden hebben je dan ook nog zo'n ding zitten 
B: 	even kijken horen 
B: 	o 
B: 	ja die ja ja dat o ik snapen je ja ja dat zijn bij mij ja I 
B: 	ok 
A: 	met die plat driehoek bovenop 
A: 	ja ja en daaronder die ronde 
A: 	ja dat zijn twee 
A: 	ja dit zijn weer die emmer met die twee rechthoe aan de zijkant 
A: 	zo boven elkaar zeggen maar 
A: 	en dan die die 
A: 	plat driehoek ja 
B: 	o dit zijn het het twitter icoon mij doen het beetje denken aan een koffiezetapparaat maar het twitter icoon die vinden ik iets veel er op lijken ja 
B: 	ok bij mij L 
B: 	o die zijn bij mij M 
B: 	ok 
A: 	yes negen 
A: 	ja dit zijn die emmer met die twee rechthoeak boven elkaar zeggen maar 
A: 	aan de zijkant en die 
A: 	plat driehoek ja 
B: 	het twitter poppetje 
A: 	oké zes 
B: 	even kijken waar die zijn o hier F 
B: 	Twitter poppetje 
B: 	ok bij mij H 
