A: 	twee van die piramide 
A: 	een robot 
A: 	ja ja 
A: 	dan zijn het twee 
A: 	ja ik vinden het echt een robot zo 
A: 	ik hebben net het hebben net WALLE kunnen zijn 
B: 	aan de voorkant zijn een heel groot vierkant vlak 
B: 	en aan de linkerkant twee soort blokkendooz die erin gaan 
B: 	ja 
B: 	ja ja 
B: 	iets futuristisch 
A: 	zijn het robotje weer 
A: 	die machine en die 
A: 	robot 
A: 	ja met dat pinnet 
A: 	ja 
A: 	dat zijn negen 
B: 	ja met twee twee blokkentorens aan de linkerkant 
B: 	dat zijn G 
B: 	dit zijn dat poppe met aan de linkerkant twee blokkentorens die het hoofd ingaan aan de voorkant een groot vierkant vak vlak 
B: 	ja zoiets 
A: 	robot 
A: 	ja 
A: 	even kijken waar jij zijn 
A: 	waar zijn jij nou 
A: 	ja één 
B: 	ja dat zijn D 
A: 	de robot 
B: 	dit zijn met ja het volgens mij noemen we het ruimteschip met de twee blokkending die erin gaan 
B: 	met voor een vierkant vlak 
B: 	dat zijn B 
