A: 	een bak weer aan de zijn een je aan de linkerkant van de bak zijn eerst een een een uitsteeksel en daarop staan nog een uitsteeksel 
A: 	en aan de rechterkant zijn een soort van een plank waar je hem 
A: 	een rond plank , ja 
A: 	oké 
A: 	dat zijn nummer zes 
B: 	ja en zo'n heel groot ding links naar boven 
B: 	zoiets 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja ja 
B: 	dat zijn H 
B: 	ja dit zijn die met dat dienblad wat jij zeggen 
B: 	rechts dat dienblad en link die spijker 
B: 	ja 
A: 	de bak met aan de rechterkant een rond opzettafel , plank 
A: 	aan de linkerkant een , nog een uitstulping , met een groot uitstulping erop 
B: 	ja dat zijn N 
A: 	met de spijker 
A: 	ja 
A: 	nummer drie 
B: 	dit zijn het dienblad aan de rechterkant 
B: 	en een spijker links 
A: 	aan de rechterkant zijn het rond plank 
A: 	opzettafel 
A: 	linkerkant een uitstulping met een lang 
B: 	J 
A: 	ja dat zijn nummer tien 
B: 	dit zijn dat dienblad en een spijker links 
