A: 	even kijken horen 
A: 	ja ja ja 
A: 	ja ik weten welk het zijn 
A: 	en dan aan de zijkant hebben die zo'n soort soort mouwtje of zo lijken het wel 
A: 	oké 
A: 	nummer achten 
B: 	deze hebben een een soort balkje op op zijn hoofd 
B: 	en er zitten aan de zijkant ja het lijken een beetje op een soort espressoapparaat 
B: 	soort tuu waar iets uit kunnen komen 
B: 	en aan de zijkant zitten nog een soort armpje met een staafje omhoog 
B: 	oké 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	dit zijn dat ding met dat enig recht balkje zo bovenop 
A: 	en dan die 
A: 	ja met het mouw ja 
A: 	ja 
A: 	nummer één 
B: 	ja 
B: 	even kijken 
B: 	zijn het een hanenkam of met dat balk 
A: 	dit zijn dat een ding met dat recht balkje bovenop en die mouwt 
B: 	ja met het balk 
B: 	dan zijn het E 
A: 	ja 
A: 	even kijken waar die zijn 
A: 	nummer zestien 
B: 	dit zijn weer dat espressoapparaat met dat balkje op zijn kop 
A: 	dat ding met dat balkje erop 
A: 	als enig dat plat balkje en die mouwt 
B: 	ja 
B: 	dat zijn E 
B: 	dit zijn weer dat espressoapparaat 
B: 	oké 
B: 	dat zijn O 
