B: 	deze hebben twee van die kasteelt aan de linkerkant erin en een vierkant aan de voorkant 
B: 	en nog een soort van paddenstoel aan de bovenkant 
A: 	ja met een vierkant ervoor 
A: 	ja dat zijn nummer twee 
B: 	oké 
B: 	wachten even even kijken 
B: 	twee ding ja die paddenstoel ja ja ja 
B: 	oké die torent aan de zijkant 
B: 	oké dat zijn G 
A: 	deze hebben aan de linkerkant twee toren op de die ertegenaan staan zeggen maar met een vierkant plateaut nog ervoor 
B: 	oké dit zijn diegene met die twee torent aan de zijkant en die paddenstoel erop 
A: 	ja 
A: 	plateau aan de voorkant 
A: 	ja 
A: 	nummer negen 
B: 	oké 
B: 	ja 
B: 	ja met nog één ding ervoor toch 
B: 	ja oké ja dat zijn D 
A: 	dit zijn degeen met de twee toren die aan de linkerkant uitsteken met het recht plateaut ervoor en het spijkert erbovenop 
A: 	maar twee toren links zijn denken ik het makkelijk om 
A: 	ja 
B: 	ik hebben diegene met die paddenstoel en die twee torent erin en één plat ding aan de voorkant 
A: 	ja met het plateaut ervoor de vierkant 
A: 	ja dat zijn nummer één 
B: 	ja even zoeken 
B: 	ja dat zijn B 
A: 	dit zijn de figuur met de twee toren die aan de linkerkant uitsteken met het spijker erop 
A: 	en een vierkantje plateau ervoor 
