A: 	ik weten al welk dat zijn 
A: 	dat zijn vijf 
B: 	dit plaat hebben drie bollet aan allebei de kant 
B: 	en een schijf aan de voorkant en een vierkant aan de onderkant 
B: 	ja 
A: 	deze hebben het plank aan de onderkant 
A: 	en die dinget aan de 
B: 	oké 
B: 	ja 
B: 	met die zes dingetjes 
B: 	oké 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	en die 
A: 	dat zijn bij mij elf 
A: 	die met die plank aan de onderkant 
B: 	dit zijn met die drie dinget links en rechts en een schijf aan de voorkant en het plat aan de onderkant 
A: 	die met het plank onderaan dat zijn negen 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij P 
A: 	die met die plank aan de onderkant 
B: 	met die drie dinget links en rechts 
B: 	en die schijf aan de voorkant 
B: 	dat zijn bij mij L 
