B: 	dus als een soort scha 
B: 	zo met twee van die poot zitten er ook onder 
A: 	deze hebben een staaf aan de achterkant 
B: 	of zijn het dat het ook wel lijken aan de linkerkant steken iets uit 
A: 	en een vierkan ook aan de achterkant 
B: 	lijken een beetje alsof het zo zijn dichtgevouwen 
A: 	alsof je een kop hebben met twee van die alsof het een deegroller ja aan de achterkant hebben die een deegroller 
A: 	en één en een handvat lijken het wel aan de achterkant 
B: 	ja alsof zo'n een vlak alsof het op een standaard staan 
A: 	nee nee 
B: 	oké 
A: 	hij hebben een staaf aan de achterkant 
B: 	dan zijn het K 
A: 	ja 
A: 	en hij zijn hij lijken zeshoekig die staaf 
A: 	ja duidelijk 
A: 	het zijn het zitten allemaal aan de achterkant van de beker 
A: 	ja 
A: 	ja de een zijn lang dan de ander 
A: 	ja 
A: 	waar wij zo lang over ja die deegroller 
A: 	ja ja 
A: 	negen 
B: 	ja dit zijn dat figuur met daarachter een vlak op een standaard en twee 
B: 	paal aan de zijkant die daar zo in ge duwd zijn 
B: 	dat vlak dat staan er zeggen maar schuin achter 
B: 	op een standaard 
B: 	lijken het 
B: 	zo staan die zo tegen dat figuur aan 
B: 	en dan twee een soort van paal 
B: 	één heel kort aan de 
B: 	ja 
A: 	en deze zijn weer die deegroller 
B: 	met het plateaut aan de achterkant met standaard 
B: 	dat zijn F 
A: 	die 
A: 	waar zijn die nou 
A: 	ja 
A: 	drie 
B: 	dit zijn met de twee paal die een beetje aan de onderkant er zo in duwen zijn en aan de achterkant een vierkant vlak met een standaard 
A: 	dit zijn de deegroller weer 
B: 	ja ik zitten te twijfelen ik weten niet of jij deze de Hamer noemen 
B: 	oké dan de hamer 
A: 	ja 
A: 	waar zijn jij ? vijf 
B: 	het ding aan de achterkant 
B: 	dat zijn L 
B: 	dit zijn de hamer met het plateau boek erachter 
B: 	bij mij staan die in het midden 
B: 	en dan een stuk naar onder 
