A: 	zijn een kop met een neus aan de rechterkant en een vierkant piercing er eigenlijk 
A: 	half wijnglas 
A: 	en een klein antenne bovenop 
A: 	dus gewoon één balle zitten aan de voorkant 
A: 	en die hebben zo'n eigenlijk wel zo'n piercing erdoorheen 
A: 	ja 
A: 	juist 
B: 	ja 
B: 	wachten een neus en dan ja ja ik weten 
B: 	link toch 
B: 	wachten sorry zitten een rond link linksboven zitten dat ding zijn een haar of een zeggen je ja 
B: 	okee nummer f zijn dit 
A: 	een 
A: 	wel piercing 
A: 	elf 
B: 	deze zijn het ei met de stok erdoorheen en een lepeltje 
B: 	ja 
A: 	met neuspiercing 
A: 	achten 
B: 	ja even pijnlijk wel 
B: 	nummer I zijn letter I zijn dat 
B: 	dit zijn het ei met de stok erdoor 
B: 	en een lepeltje 
B: 	ja 
B: 	waar zijn je blijven 
B: 	ja a 
B: 	dit zijn die met ei als neus en een stok erdoor en een lepeltje link 
