A: 	ja 
A: 	dat zijn nummer twee 
B: 	het lijken alsof het er zijn eerst een soort van plateauachtig iets in een driehoekje dan een staaf en dan komen het beker dus zijn hij zweeven iets hoog in de lucht 
B: 	en dan hebben je even kijken twee vierkant bovenop één die uitsteken aan de rechterkant één die er gewoon op staan 
B: 	en aan de linkerkant nog een een uitsteeksel van iets 
B: 	liggen eraan wat voor houder 
B: 	nee nee nee geen twee streep 
B: 	ik snapen welk je bedoelen nee dat zijn hem niet 
B: 	even kijken het zijn echt zo'n je hebben eerst een plateau en dan zo'n ding en dan komen het beker 
B: 	dus alsof hij gewoon iets hij hij zijn sowieso wat boven in de lucht als je hem zullen neerzetten 
A: 	ik weten wel welk je bedoelen 
A: 	hier hebben je weer de hoofdvorm die staan op een soort ronddraaien staafje en dat ronddraaien staafje die staan weer op een driehoekje een soort taartpun 
B: 	nee 
B: 	nee eerst een plateau 
B: 	soort van wijnglasidee 
A: 	en dan hebben je twee vierkant bovenop 
B: 	hebben je ook eerst een soort van plateau en 
B: 	nou alleen dit wijnglas zijn scheef 
B: 	een beetje 
B: 	ja 
B: 	en dan een vierkant in het midden en aan de linkerkant nog iets 
B: 	ja 
B: 	ja ja 
A: 	ja 
A: 	nummer vijfteen 
B: 	ja 
B: 	ja ik weten hem 
B: 	ja 
B: 	ja dat zijn j 
A: 	hier hebben je weer dat dat hoofdvorm dat op een soort ronddraaien figuur staan op die pizzapunt of die taartpunt 
A: 	en nog een uitsteeksel 
A: 	ja nummer twaalf 
A: 	dit zijn het pizzapun of het taartpun 
B: 	het wijnglas 
B: 	ah ja p 
B: 	het wijnglas 
B: 	dat zijn à 
