A: 	ja ok dat zijn twee 
B: 	ik hebben er nou één dat ja je kunnen het een beetje eigenlijk als een verrekijker zien of zo dat aan de 
B: 	linkerkant hebben je dan twee van die ja met vierkant die dan telkens groot worden 
B: 	en dan hebben je bovenop hebben je dan nog een soort van Antenne zitten of zo lijken het wel 
B: 	ja 
B: 	die 
A: 	deze hebben het vierkant aan de voorkant hebben een spijker aan de bovenkant en twee met die vierkant die uitlopen 
A: 	ok dat zijn negen 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	we hebben nou weer die een met dat vierkant aan de voorkant en dan weer met die vierkant die telkens groot worden dan die twee naast elkaar en die Antenne inderdaad 
A: 	deze hebben dat die spijker aan de bovenkant vierkant aan de voorkant en ja die twee vierkant die klein worden 
A: 	ja en die dat groot vierkant aan de voorkant 
A: 	ja ja zijn één 
B: 	ja 
B: 	dat zijn bij mij D 
A: 	zijn met de spijker met een vierkant aan de voorkant en dan die vierkant die klein worden 
B: 	die een weer met dat vierkant aan de voorkant en die antenne aan de bovenkant en die vierkant die telkens groot worden 
B: 	ja 
B: 	bij mij zijn dat B 
