A: 	ik hebben aan de bovenkant net als jij een pyramide die aan de bovenkant zijn afsnijden 
A: 	en aan de rechterkant twee dezelfde blok 
A: 	ja en soort neus aan de linkerkant 
A: 	zestien 
A: 	ik hebben die een met die met die neus 
A: 	met de pyramide aan met de bovenkant afgeschaafd 
A: 	en twee gelijkwaardig ding aan de rechterkant 
B: 	ja 
B: 	ja 
B: 	en rechts dan twee recht staf 
B: 	ja ja 
B: 	dat zijn J 
A: 	ja 
A: 	tien 
A: 	ik hebben de half pyramide bovenop en de twin towers aan de rechterkant 
A: 	met de met de neus zegmaar 
A: 	yes dertien 
B: 	deze hebben twee staaf rechts 
B: 	en ja klein poo link 
B: 	ja 
B: 	hebben hij twee staaf rechts 
B: 	bovenop 
B: 	ja en een poo linksonder ja ja 
B: 	dat zijn M 
B: 	deze hebben twee staaf rechts en een afgestompt driehoek bovenop 
B: 	ja een een poo 
B: 	en daarboven nog een ding 
B: 	ja 
B: 	ja twee staaf rechts 
B: 	D 
B: 	deze hebben twee staaf rechts en een afgestompt driehoek bovenop 
B: 	klein poo link 
