A: 	oké 
A: 	deze hebben een één rond plateaut aan de rechterkant en dan een soort uitstekend toeter links 
A: 	die op een soort ja hartjesvorm die daar zo in geprikt staan 
A: 	ja een soor toeter of zo ja 
A: 	en ook een beetje raar 
A: 	ja ja precies nummer zeven zijn dat bij mij 
B: 	welk kant op een uitstekel 
B: 	o ja en aan de rechterkant een beetje zo'n rond plateau rad ja ok ja dat zijn bij mij L 
B: 	ok ik moeten klikken 
B: 	dit zijn dat die een met die spijker en dat rond plateautje 
B: 	ok bij mij M 
A: 	deze zijn weer met dat plateaut aan de zijkant en dan dat soort hartje waar die toeter uit komen 
B: 	o ja dat zijn C 
A: 	ja 
A: 	nummer één 
A: 	dit zijn weer het plateau aan de een kant har met toetertje aan die kant 
B: 	dit zijn de spijker 
B: 	ok bij mij O 
A: 	nummer dertien 
B: 	o hier A 
B: 	o 
B: 	dit zijn de spijker 
B: 	ok 
