A: 	deze hebben een een cirkel aan de rechterkant die eruitzien alsof het zeggen maar 
A: 	dat je daar een glas op kunnen voortzetten 
A: 	en en links zijn een een groot uitsteeksel die een beetje bred worden 
B: 	even kijken 
B: 	trompe 
B: 	dat naar achter lopen 
B: 	dus het zullen een panne kunnen zijn wat aan de rechterkant zitten 
B: 	oké 
B: 	M 
A: 	ja 
A: 	zijn hem ik zijn hem aan het zoeken 
A: 	daar 
A: 	vijf 
B: 	pijl lopen naar achter soort panne 
B: 	en het panne zitten rechtsvoor 
B: 	en er zitten aan de linkerkant komen er recht komen er een figuur uit en er gaan iets naar achter alsof weg aan het schieten zijn 
B: 	dit zijn het een kop met het wat heel klein aan de rechterkant beginnen en dan een cirkel zijn 
B: 	dus het voelen een beetje alsof het een soort pannetje zijn 
B: 	dus rechts van het kop 
B: 	zitten die cirkel 
B: 	die met een heel klein stuk bevestigen zitten 
B: 	en aan de linkerkant van het kop zitten best wel een breed figuur en op dat figuur zelf schiet er iets naar achter 
B: 	ja trompeten 
B: 	ja 
A: 	die bijzettafel 
B: 	ja even kijken 
B: 	link waar zijn je 
B: 	ja ja ja 
B: 	de het lopen naar achter die trompet inderdaad ja 
B: 	B 
A: 	ja 
A: 	vijf 
A: 	dit zijn die bijzettafel 
B: 	trompet naar achter lopen 
A: 	veertien 
B: 	ja trompetje 
B: 	M 
B: 	trompet 
