B: 	aha nou ik ik krijgen nu het rood vierkantje te zien 
A: 	jij 
B: 	jij niet denken ik dan 
B: 	kijk zoals ik het zelf aanpakken hebben ik zijn ook wel benieuwd hoe jij dat doen hebben toen zijn dat ik heel erg let op een bepalen object wat er heel erg uitsteken 
A: 	ah zo hebben ik hem ook beschrijven 
A: 	ja dat zijn acht nummer acht 
B: 	en zo hebben ik ze bij de vorig test ook invullen 
B: 	waar let jij op op het moment dat je een object zien 
B: 	ja misschien ook toevallig dinget met gezicht enzo ? hebben je daar ook een beetje 
B: 	niet echt 
B: 	okee 
B: 	ja 
B: 	nou goed ik gaan deze gewoon proberen om om hem zo duidelijk mogelijk te beschrijven 
B: 	ik kijken ook vaak naar de plaat bijvoorbeeld te opzicht van de ander als er iets ander missen en dit hebben echt één significant ding 
B: 	goed deze die ik vinden het allemaal een beetje op koffiekop lijken deze ook staan op een nek 
B: 	en hebben voor mij zeggen maar aan de linkerkant een soort pinokkio-neus 
B: 	en en een soort schijf 
B: 	ja 
B: 	ja precies 
B: 	ja 
A: 	ik moeten 
A: 	hebben we niet deze al hebben een soort cirkeel plaat aan de achterkant van het beker 
A: 	link zijn een soort balk die uitsteekken en ook het weer rechtsbovenaan een soort steel van de appel 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	ja dat zijn nummer negen 
B: 	een toiletpot 
B: 	ik moeten deze nog even zien uitfiekelieren 
B: 	ja ja ja 
B: 	kunnen je hem nog een keer omschrijven 
B: 	ja 
B: 	ja ik weten welk je bedoelen 
B: 	dan gaan ik voor f 
A: 	dit zijn de rond cirkel schijf weer aan de achterkant 
A: 	ook een 
A: 	ja 
A: 	ja 
B: 	nou deze die staan op een USB-C poort 
A: 	ja dertien 
B: 	met een ja met een neus naar naar links en een schijf aan de achterkant 
B: 	en een lepeltje 
A: 	dit zijn die cirkeel plaat aan de achterkant 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn voor mij f 
B: 	deze die hebben een USB-C poor 
B: 	kunnen je hem al vinden 
B: 	zijn die er nog 
B: 	yes 
B: 	ja 
B: 	dat zijn f 
