B: 	oké wachten het haak zitten aan de onderkant 
B: 	kloppen dat 
B: 	ja 
B: 	en dan twee blok rechts en een soort van hoedje 
B: 	I 
A: 	dan hebben ik ik vinden deze zelf een soort vogel lijken 
A: 	hij hebben een soort bovenop hebben die een soort kuif 
A: 	en dan twee dezelfde balk naar rechts en dan een soort armpje naar links en dan nog een staart eronder 
A: 	ja twee 
A: 	ja 
A: 	ja 
A: 	ja veel een soort trapezefiguur 
B: 	dit zijn weer dat ding met een soort van hoedje aan bovenop en dan twee blok rechts 
B: 	en zo'n ja buis ding link 
B: 	onderaan 
B: 	rechterkant en twee ding links 
B: 	M 
A: 	dat zijn bij mij nummer twee 
A: 	ik hebben dat vogel weer 
B: 	dit zijn weer met die twee blok aan de rechterkant diezelfde grootte en dan zo'n hoedje bovenop 
B: 	en twee dinget link 
B: 	ja 
B: 	F 
B: 	dit zijn weer die met dat soort van hoedje en die twee blok rechts en twee dinget link 
A: 	die zijn 
A: 	nummer negen 
A: 	ja 
A: 	ik hebben het vogel 
A: 	nummer zes 
