A: 	oké 
A: 	ja 
A: 	ja 
A: 	dan de 
A: 	ja 
A: 	soort Pippi Langkous idee en dan ook een ondergrond 
A: 	ja 
A: 	dat zijn bij mij nummer vijf 
A: 	dus vijf geel 
B: 	ja deze hij hebben aan het zijn ook weer zo'n zo'n kop natuurlijk aan de voorkant een rond en aan beide kant drie van die kraalt 
B: 	ja ja precies ja 
B: 	yes dat zijn voor mij nummer J of letter J 
A: 	dit zijn weer die Pippi Langkous met die aan beide kant die drie vormp 
A: 	en de grond 
B: 	dit zijn wederom die met die Pippi Langkous vlechtjes 
A: 	de 
A: 	ja met de staar 
A: 	oké 
A: 	ja ik hebben dan ik hebben juist een ander als clown noemen dus 
A: 	ik hebben de clown met de bol neus 
A: 	maar dit zijn dus met de plat neus Pippi Langkous 
A: 	dat zijn elf 
B: 	ja 
B: 	dat zijn P voor mij 
A: 	dit zijn weer de Pippi Langkous 
A: 	dus met de twee 
B: 	dit zijn weer de Pippi Langkousvlechtjes 
A: 	oké 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	L 
A: 	dit zijn Pippi Langkous 
