A: 	deze hebben zo'n groot kegel bovenop 
A: 	en nog zo'n groot kegel beetje Linksvoor 
A: 	scheef Linksvoor 
A: 	en dan ook nog rechtsvoor scheef een beetje zo'n zo'n vierkant wat zo zo'n blok wat zo afloopt 
A: 	ja 
A: 	en dan twee groot kegel één bovenop en één link 
A: 	ja zo'n 
A: 	zo'n buis ja die zo krom gaan 
A: 	ja 
B: 	ja 
B: 	een beetje als legoblokjes 
B: 	ja 
B: 	ja 
B: 	dan denken ik dat ik hem wel weten ja 
B: 	ik gaan voor I 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	en dan ook nog één zo'n groot aan de bovenkant 
A: 	ja 
A: 	en dan linksachter zitten zo'n krom cilinder 
A: 	ja dat zijn een 
B: 	ja 
B: 	hee hebben wij deze niet al doen ? zitten ik te denken 
B: 	misschien moeten we nog een keer 
B: 	ja moeten we of allebei apart uitleggen 
B: 	bij dit kop zitten er aan de rechterkant een soort van legoblokjes oor 
B: 	waarbij die ook groot worden 
B: 	je hebben Linksvoor hebben je een soort zeppelinneus waar je het toen ook over hebben 
B: 	Bovenin zitten ook een zeppelinlepel 
B: 	en je hebben nog een ander uitsteeksel 
B: 	weten je dan welk ik bedoelen 
B: 	ja 
B: 	ja 
B: 	gek uitsteeksel 
B: 	ja 
A: 	deze zijn met die groot kegel bovenop en ook die dezelfde groot kegel die daar linksvoor uitsteken 
A: 	en dan rechts zo'n zo'n rechthoek die steeds aflooppen 
A: 	ja die krom buis 
A: 	ja en dan kegel Linksvoor 
A: 	dat zijn een 
A: 	een 
B: 	ja 
B: 	ja 
B: 	nou dat zijn voor mij b 
B: 	denken weer aan zeppelinvormen 
B: 	zeppelinneus zeppelinlepel 
B: 	aan de rechterkant legoblok 
B: 	en nog een ander uitsteeksel 
A: 	achten 
A: 	ja ik sorry 
A: 	dit zijn met die groot kegel aan de bovenkant en een ander groot kegel linksvoor en dan zo'n aflopen rechthoek rechts 
A: 	ja vier 
B: 	ja 
B: 	dat zijn g 
B: 	zeppelinvorm vooraan en bovenop en legoblok aan de rechterkant 
