A: 	oké 
A: 	ik onthield deze met het bolle of het het ballet 
A: 	er zitten een soort van het zijn eigenlijk volgens mij het enig kop met een met een balle dat erbovenop liggen 
A: 	staf aan de zijkant en een lang aan de voorkant 
A: 	oké 
B: 	vooraan een lang balk 
B: 	en liggen daarbovenop een bolle 
B: 	ja 
B: 	D 
A: 	ja het zijn volgens mij nu ook verwisseld allemaal 
A: 	de locatie zijn anders ineens 
A: 	oké 
A: 	ja 
A: 	oké 
A: 	dat zijn vijftien 
B: 	dit zijn zo'n ding met een lang balk 
B: 	lijken lijken gewoon op een hoog toren zeggen maar en bovenin bovenop liggen een bol op het plaat 
B: 	aan de zijkant van die 
B: 	ja 
A: 	oké dit zijn die met het ballet bovenop 
A: 	dat zijn zes 
B: 	even 
B: 	ja die bol bovenop en dan één toren van het World Trade Center lijken het 
B: 	L 
A: 	dit zijn die met het ballet bovenop 
B: 	met die rond bovenop die bol zeggen maar en dan weer die lang balk aan de voorkant 
A: 	drie 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	die bol en dan weer die World Trade Center 
