A: 	deze hebben een dinge aan de onderkant met een knik erin 
A: 	met dinget met ding erdoorheen 
A: 	ja 
A: 	ja ja 
B: 	ja 
B: 	dat zijn bij mij M 
A: 	ja alleen het dinge met knikje ver niks aan de onderkant toch 
A: 	oké dat zijn bij mij negen 
B: 	deze zijn die met die twee soort van ruit erbovenop met vierkant erdoorheen 
B: 	en en onder steken nog iets uit en aan de rechterkant nog twee ding 
A: 	deze hebben dat onderkantje met die knik erin 
A: 	met het dinge eronder ja dat zijn bij mij elf 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij H 
A: 	dit zijn die met het dinge eronder met zo'n knik erin 
A: 	met het knikje onderaan 
A: 	ja dat zijn nummer veertien 
B: 	dit zijn met die ruit aan de bovenkant 
B: 	met die vierkant erdoorheen 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij D 
B: 	dit zijn met die twee ruit aan de bovenkant met die uitdijen vierkant 
